CB(Vd=0.2: Vg=3.0) X,CB(Vd=0.2: Vg=3.0) Y,VB(Vd=0.2: Vg=3.0) X,VB(Vd=0.2: Vg=3.0) Y,CB(Vd=0.2: Vg=0.9) X,CB(Vd=0.2: Vg=0.9) Y,VB(Vd=0.2: Vg=0.9) X,VB(Vd=0.2: Vg=0.9) Y,CB(Vd=0.2: Vg=0.3) X,CB(Vd=0.2: Vg=0.3) Y,VB(Vd=0.2: Vg=0.3) X,VB(Vd=0.2: Vg=0.3) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y
-0.5,0.21671429,-0.5,-0.90744494,-0.5,0.25020221,-0.5,-0.87395702,-0.5,0.35765404,-0.5,-0.76650519,-0.5,0.41642945,-0.5,-0.70772978
-0.49534431,0.2226872,-0.49534431,-0.90147203,-0.49534431,0.25941149,-0.49534431,-0.86474774,-0.49534431,0.37690613,-0.49534431,-0.74725311,-0.49534431,0.44007058,-0.49534431,-0.68408865
-0.48271704,0.24408663,-0.48271704,-0.8800726,-0.48271704,0.2874701,-0.48271704,-0.83668913,-0.48271704,0.42528278,-0.48271704,-0.69887645,-0.48271704,0.49664363,-0.48271704,-0.6275156
-0.46875,0.25822465,-0.46875,-0.86593458,-0.46875,0.31114805,-0.46875,-0.81301118,-0.46875,0.47831155,-0.46875,-0.64584768,-0.46875,0.56217479,-0.46875,-0.56198445
-0.45478296,0.26949269,-0.45478296,-0.85466654,-0.45478296,0.3302018,-0.45478296,-0.79395743,-0.45478296,0.52261259,-0.45478296,-0.60154664,-0.45478296,0.61646156,-0.45478296,-0.50769767
-0.43584204,0.29235853,-0.43584204,-0.8318007,-0.43584204,0.36097404,-0.43584204,-0.76318519,-0.43584204,0.57815552,-0.43584204,-0.54600371,-0.43584204,0.68029852,-0.43584204,-0.44386071
-0.421875,0.30215703,-0.421875,-0.8220022,-0.421875,0.37696388,-0.421875,-0.74719535,-0.421875,0.6151283,-0.421875,-0.50903093,-0.421875,0.72459928,-0.421875,-0.39955995
-0.40790796,0.31087347,-0.40790796,-0.81328576,-0.40790796,0.39037677,-0.40790796,-0.73378246,-0.40790796,0.64484537,-0.40790796,-0.47931386,-0.40790796,0.75847358,-0.40790796,-0.36568565
-0.38896704,0.32744479,-0.38896704,-0.79671444,-0.38896704,0.41253393,-0.38896704,-0.7116253,-0.38896704,0.68467344,-0.38896704,-0.43948579,-0.38896704,0.80139418,-0.38896704,-0.32276506
-0.375,0.33506862,-0.375,-0.78909061,-0.375,0.42392665,-0.375,-0.70023258,-0.375,0.70897168,-0.375,-0.41518755,-0.375,0.82735471,-0.375,-0.29680452
-0.36103296,0.34187709,-0.36103296,-0.78228214,-0.36103296,0.43363625,-0.36103296,-0.69052298,-0.36103296,0.72808486,-0.36103296,-0.39607437,-0.36103296,0.84530644,-0.36103296,-0.27885279
-0.34209204,0.35423985,-0.34209204,-0.76991938,-0.34209204,0.44958809,-0.34209204,-0.67457114,-0.34209204,0.75409131,-0.34209204,-0.37006792,-0.34209204,0.86813658,-0.34209204,-0.25602265
-0.328125,0.35999885,-0.328125,-0.76416038,-0.328125,0.45775152,-0.328125,-0.66640771,-0.328125,0.7694857,-0.328125,-0.35467354,-0.328125,0.88070735,-0.328125,-0.24345188
