CB(Vd=4.5: Vg=2.5) X,CB(Vd=4.5: Vg=2.5) Y,VB(Vd=4.5: Vg=2.5) X,VB(Vd=4.5: Vg=2.5) Y,CB(Vd=1.6: Vg=2.5) X,CB(Vd=1.6: Vg=2.5) Y,VB(Vd=1.6: Vg=2.5) X,VB(Vd=1.6: Vg=2.5) Y,CB(Vd=0.2: Vg=2.5) X,CB(Vd=0.2: Vg=2.5) Y,VB(Vd=0.2: Vg=2.5) X,VB(Vd=0.2: Vg=2.5) Y,CB(Vd=0.0: Vg=0.0) X,CB(Vd=0.0: Vg=0.0) Y,VB(Vd=0.0: Vg=0.0) X,VB(Vd=0.0: Vg=0.0) Y
-0.54446006,0.11896233,-0.54446006,-1.0051969,-0.54446006,0.12238132,-0.54446006,-1.0017779,-0.54446006,0.15927696,-0.54446006,-0.96488227,-0.54446006,0.19510162,-0.54446006,-0.92905761
-0.5390625,0.11402654,-0.5390625,-1.0101327,-0.5390625,0.11776063,-0.5390625,-1.0063986,-0.5390625,0.15865385,-0.5390625,-0.96550538,-0.5390625,0.20007746,-0.5390625,-0.92408177
-0.52826738,0.086922455,-0.52826738,-1.0372368,-0.52826738,0.092313195,-0.52826738,-1.031846,-0.52826738,0.15503804,-0.52826738,-0.96912119,-0.52826738,0.22896035,-0.52826738,-0.89519888
-0.52734375,0.084437789,-0.52734375,-1.0397214,-0.52734375,0.089988186,-0.52734375,-1.034171,-0.52734375,0.15475269,-0.52734375,-0.96940654,-0.52734375,0.23192514,-0.52734375,-0.89223409
-0.52194619,0.063404116,-0.52194619,-1.0607551,-0.52194619,0.070152662,-0.52194619,-1.0540066,-0.52194619,0.15168555,-0.52194619,-0.97247368,-0.52194619,0.25465984,-0.52194619,-0.86949939
-0.52102256,0.059489664,-0.52102256,-1.0646696,-0.52102256,0.066474557,-0.52102256,-1.0576847,-0.52102256,0.15119105,-0.52102256,-0.97296818,-0.52102256,0.25921005,-0.52102256,-0.86494918
-0.515625,0.03118079,-0.515625,-1.0929784,-0.515625,0.039709886,-0.515625,-1.0844493,-0.515625,0.14677852,-0.515625,-0.97738071,-0.515625,0.28913135,-0.515625,-0.83502788
-0.51022744,-0.0095570684,-0.51022744,-1.1337163,-0.51022744,0.0011317272,-0.51022744,-1.1230275,-0.51022744,0.14012427,-0.51022744,-0.98403496,-0.51022744,0.33002568,-0.51022744,-0.79413355
-0.50930381,-0.016170251,-0.50930381,-1.1403295,-0.50930381,-0.0050937514,-0.50930381,-1.129253,-0.50930381,0.13926727,-0.50930381,-0.98489196,-0.50930381,0.33705363,-0.50930381,-0.7871056
-0.50390625,-0.071752551,-0.50390625,-1.1959118,-0.50390625,-0.057811043,-0.50390625,-1.1819703,-0.50390625,0.12957009,-0.50390625,-0.99458914,-0.50390625,0.38944686,-0.50390625,-0.73471237
